track_id,popularity,duration_ms,danceability,energy,loudness,instrumentalness,valence,tempo,track_genre
3heUStITF5r3GlNTZNnJqP,23,262040,0.458,0.885,-4.31,0.00305,0.826,195.646,afrobeat
4OtSo1ZTQWRWE53ZvBfBTV,0,246933,0.381,0.894,-8.638,0.0,0.797,205.528,alt-rock
5pZVsZ8TOGly1KnYFmZ61B,57,243903,0.502,0.874,-5.981,0.000173,0.884,199.751,anime
0QDROVQXDVdoM8WMuYRnyD,32,170186,0.501,0.731,-6.135,0.0,0.879,201.077,bluegrass
2d6d9enSAO1ax45MwRw1rB,28,208653,0.488,0.775,-5.458,0.000387,0.811,205.864,bluegrass
4Tqfnoyk56kZMvqhShghAh,27,195120,0.487,0.716,-6.57,6.35e-06,0.879,200.166,bluegrass
49DqqXLKYOh9TARKleBQbe,22,181133,0.48,0.643,-6.889,1.21e-06,0.91,200.812,bluegrass
7pSga5MXj7IbOuRCVuadBR,0,160840,0.537,0.521,-11.326,0.00665,0.961,199.362,blues
2eQL7ZD5FAgwky6Hab76cP,38,228986,0.663,0.46,-6.178,0.0,0.917,203.151,blues
78rNLdnl1uy7f4uAeHVEM4,33,164453,0.532,0.349,-15.308,0.0,0.865,203.149,bluegrass
1wkBXeAd645EksAwEHAyY4,10,301601,0.768,0.444,-13.067,0.108,0.95,216.558,chicago-house
0dF7HP4wDwxCtID3mXpdYX,68,147780,0.711,0.396,-11.266,3e-05,0.969,199.955,children
5txSLkf7BeYIgTtUnVDDG8,64,147147,0.704,0.479,-12.362,1.14e-06,0.936,199.841,children
1Z7tsmCvV0QboBo37Iykri,63,134117,0.757,0.525,-9.651,0.0,0.97,204.09,children
4Jw9eno5BjfFGHW9CIo1Ep,45,78285,0.714,0.54,-8.435,0.0,0.966,210.006,children
5f4pk2mhjFOmdpFj1HXxlr,46,141600,0.751,0.58,-9.927,4.41e-06,0.954,200.137,children
3lhAN67vp4RLgJbUUctHHO,33,355600,0.682,0.754,-2.413,1.33e-06,0.963,200.301,blues
6AlpEaVSlRQN0U9Vxndwu5,0,200000,0.616,0.668,-6.33,0.0529,0.958,206.36,children
7jU7bkSuD3q3D40ogwlhgE,36,135573,0.493,0.602,-9.836,1.82e-06,0.872,203.334,blues
618hiI74zBL8UVgAvfmkLj,57,264240,0.462,0.796,-6.202,0.0,0.824,204.028,blues
6hv4MN2Knt4Zk2EyeCJ1pb,47,190400,0.486,0.903,-6.418,2.33e-05,0.943,200.104,children
2HDfwCQrfY86gPrlJGp4KA,0,186311,0.599,0.929,-2.162,0.000845,0.847,213.674,dancehall
4sHvKJc3qxiBuNTag8RiLq,39,189121,0.519,0.86,-5.475,0.0,0.948,219.571,dancehall
76IkF7pA7RscjDTvOFT4vb,61,212815,0.535,0.794,-4.933,1.52e-05,0.799,203.712,dancehall
4gKy5k5bhga2GFa7svTfbd,52,194583,0.58,0.748,-6.393,0.0,0.939,202.052,dancehall
0TGqtoQcvUJRiAKkYRS3ew,27,157680,0.542,0.587,-9.021,0.0,0.887,199.821,comedy
5FFrVv5vtXy5uZWFBXDTM0,19,73120,0.731,0.569,-7.975,0.0,0.952,210.025,children
6cAGLm9XZ0lUBmgsMxw83t,21,34110,0.767,0.463,-7.105,0.0,0.799,200.405,children
3jqEKnmdXt8N3h7VRZx9os,31,96933,0.647,0.417,-10.833,0.0,0.807,201.051,children
7t3lm1x3o4jyB3WGncv9Ck,41,102400,0.786,0.464,-12.036,0.0,0.97,200.083,children
7MWn1o8ClaD1OsRbHvWXR7,38,107178,0.804,0.492,-10.982,0.0,0.931,199.957,children
4bUe0OUcwdu85AMBkZzYFg,65,175677,0.67,0.607,-6.44,0.0,0.863,199.666,dancehall
2RCf3uUVix6XzRU0Z8quJs,48,229633,0.719,0.671,-4.888,3.32e-05,0.844,205.656,dancehall
5YLHLxoZsodDWjqSgjhBf3,68,167552,0.745,0.561,-5.513,1.12e-06,0.902,195.918,electro
7d3BPwhS1MLufNHPWhM7rD,33,283280,0.694,0.694,-4.805,0.0,0.867,203.552,groove
0hp62UwmajmzAjXkMKznhD,53,223587,0.566,0.903,-4.576,2.53e-05,0.905,194.825,dancehall
09kXVa2L8BV8Jhd8uE93x7,29,260600,0.697,0.878,-13.094,0.589,0.966,195.905,disco
1wHspM1C0aVMyT1uc3op7Z,32,225653,0.518,0.785,-7.684,0.0,0.945,200.04,guitar
5cCcTvZstIyX4Rg18MhVOJ,0,249733,0.382,0.727,-6.677,0.0,0.826,207.266,disco
1zniZ5ACj0jXMo8B4L1rHw,30,155939,0.245,0.617,-8.868,0.267,0.813,197.768,cantopop
6cSbb20D4BSajDoXuu6QtF,27,232693,0.35,0.831,-8.932,1.47e-05,0.821,198.275,grunge
7q8TrL8QgMP9lWTcaYmGZ5,23,91219,0.191,0.944,-4.237,0.939,0.807,196.822,death-metal
4jQCJchULcVfb3LTjJ5rn1,28,112640,0.149,0.981,0.803,0.0872,0.915,197.893,garage
0ut1UTeccM48xyYxGG63dg,22,180000,0.175,0.802,-7.666,0.642,0.949,197.182,club
